year,state_fips,state,scope,rep_votes,dem_votes,twoparty_votes,total_votes,source_counties
1976,38,ND,pre_bridge,153470,136078,289548,297090,53
1976,39,OH,pre_bridge,2000505,2011621,4012126,4111874,88
1976,40,OK,pre_bridge,545708,532442,1078150,1092251,77
1976,41,OR,pre_bridge,492120,490407,982527,1029876,36
1976,42,PA,pre_bridge,2205604,2328677,4534281,4620787,67
1976,44,RI,pre_bridge,181249,227636,408885,410584,5
1976,45,SC,pre_bridge,346140,450825,796965,801913,46
1976,46,SD,pre_bridge,151505,147068,298573,300886,67
1976,47,TN,pre_bridge,633969,825879,1459848,1476345,95
1976,48,TX,pre_bridge,1953300,2082319,4035619,4071884,254
1976,49,UT,pre_bridge,337908,182110,520018,541198,29
1976,50,VT,pre_bridge,102085,81044,183129,187855,14
1976,51,VA,pre_bridge,836554,813896,1650450,1697094,136
1976,53,WA,pre_bridge,777732,717323,1495055,1555534,39
1976,54,WV,pre_bridge,314760,435914,750674,750674,55
1976,55,WI,pre_bridge,1004987,1040232,2045219,2101336,72
1976,56,WY,pre_bridge,92717,62239,154956,156343,23
1980,01,AL,pre_bridge,654192,636730,1290922,1341929,67
1980,04,AZ,pre_bridge,529688,246843,776531,873945,14
1980,05,AR,pre_bridge,403164,398041,801205,837582,75
1980,06,CA,pre_bridge,4524858,3083641,7608499,8585801,58
1980,08,CO,pre_bridge,652264,367973,1020237,1184415,63
1980,09,CT,pre_bridge,677210,541732,1218942,1405449,8
1980,10,DE,pre_bridge,111252,105754,217006,235668,3
1980,11,DC,pre_bridge,23313,130231,153544,173889,1
1980,12,FL,pre_bridge,2046951,1419475,3466426,3687026,67
1980,13,GA,pre_bridge,654168,890733,1544901,1596583,159
1980,15,HI,pre_bridge,130085,135857,265942,303228,4
1980,16,ID,pre_bridge,290699,110192,400891,437431,44
1980,17,IL,pre_bridge,2358049,1981413,4339462,4749721,102
1980,18,IN,pre_bridge,1255656,844197,2099853,2242033,92
1980,19,IA,pre_bridge,676026,508672,1184698,1317661,99
1980,20,KS,pre_bridge,566812,326150,892962,979795,105
1980,21,KY,pre_bridge,635274,616417,1251691,1294627,120
1980,22,LA,pre_bridge,792853,708453,1501306,1548591,64
1980,23,ME,pre_bridge,238522,220974,459496,523011,16
1980,24,MD,pre_bridge,680606,726161,1406767,1540496,24
1980,25,MA,pre_bridge,1057631,1053802,2111433,2524298,14
1980,26,MI,pre_bridge,1915225,1661532,3576757,3909725,83
1980,27,MN,pre_bridge,873241,954174,1827415,2051672,87
1980,28,MS,pre_bridge,441089,429281,870370,892620,82
1980,29,MO,pre_bridge,1074181,931182,2005363,2527017,115
1980,30,MT,pre_bridge,206814,118032,324846,363952,56
1980,31,NE,pre_bridge,419937,166851,586788,640854,93
1980,32,NV,pre_bridge,155017,66666,221683,247885,17
1980,33,NH,pre_bridge,221705,108864,330569,383931,10
1980,34,NJ,pre_bridge,1546557,1147364,2693921,2975684,21
1980,35,NM,pre_bridge,250779,167826,418605,456237,32
1980,36,NY,pre_bridge,2893831,2728372,5622203,6201673,62
1980,37,NC,pre_bridge,915018,875635,1790653,1855833,100
1980,38,ND,pre_bridge,193695,79189,272884,301545,53
1980,39,OH,pre_bridge,2206545,1752414,3958959,4283603,88
1980,40,OK,pre_bridge,695570,402026,1097596,1149708,77
1980,41,OR,pre_bridge,571044,456890,1027934,1181516,36
1980,42,PA,pre_bridge,2261872,1937540,4199412,4561501,67
1980,44,RI,pre_bridge,154793,198342,353135,415967,5
1980,45,SC,pre_bridge,441206,427559,868765,890105,46
1980,46,SD,pre_bridge,198343,103855,302198,327703,66
1980,47,TN,pre_bridge,787761,783051,1570812,1617616,95
1980,48,TX,pre_bridge,2510705,1881147,4391852,4541637,254
1980,49,UT,pre_bridge,439687,124266,563953,604222,29
1980,50,VT,pre_bridge,94598,81891,176489,213207,14
1980,51,VA,pre_bridge,989609,752174,1741783,1866032,136
1980,53,WA,pre_bridge,865244,650193,1515437,1742394,39
1980,54,WV,pre_bridge,334206,367462,701668,737715,55
1980,55,WI,pre_bridge,1088845,981584,2070429,2271884,72
1980,56,WY,pre_bridge,110700,49427,160127,176713,23
1984,01,AL,pre_bridge,873067,550899,1423966,1440950,67
1984,04,AZ,pre_bridge,681416,333854,1015270,1025897,15
1984,05,AR,pre_bridge,534774,338646,873420,884406,75
1984,06,CA,pre_bridge,5467009,3922519,9389528,9505041,58
1984,08,CO,pre_bridge,821817,454975,1276792,1295358,63
1984,09,CT,pre_bridge,890877,569597,1460474,1466674,8
1984,10,DE,pre_bridge,152190,101656,253846,254572,3
1984,11,DC,pre_bridge,29009,180408,209417,211288,1
1984,12,FL,pre_bridge,2730350,1448816,4179166,4180051,67
1984,13,GA,pre_bridge,1068722,706628,1775350,1775350,159
1984,15,HI,pre_bridge,184999,147138,332137,335779,4
1984,16,ID,pre_bridge,297523,108510,406033,411144,44
1984,17,IL,pre_bridge,2707103,2086499,4793602,4819088,102
1984,18,IN,pre_bridge,1377230,841481,2218711,2233069,92
1984,19,IA,pre_bridge,703088,605620,1308708,1319805,99
1984,20,KS,pre_bridge,677296,333149,1010445,1021991,105
1984,21,KY,pre_bridge,822782,539589,1362371,1370461,120
1984,22,LA,pre_bridge,1037299,651586,1688885,1706822,64
1984,23,ME,pre_bridge,336500,214515,551015,553144,16
1984,24,MD,pre_bridge,879918,787935,1667853,1675873,24
1984,25,MA,pre_bridge,1310936,1239606,2550542,2559453,14
1984,26,MI,pre_bridge,2251571,1529638,3781209,3801658,83
1984,27,MN,pre_bridge,1032603,1036364,2068967,2083726,87
1984,28,MS,pre_bridge,582377,352192,934569,941092,82
1984,29,MO,pre_bridge,1274188,848583,2122771,2603599,115
1984,30,MT,pre_bridge,232450,146742,379192,384377,56
1984,31,NE,pre_bridge,460054,187866,647920,652090,93
1984,32,NV,pre_bridge,188770,91655,280425,286667,17
1984,33,NH,pre_bridge,267051,120395,387446,388954,10
1984,34,NJ,pre_bridge,1933630,1261323,3194953,3217862,21
1984,35,NM,pre_bridge,307101,201769,508870,514370,33
1984,36,NY,pre_bridge,3664763,3119609,6784372,6806810,62
1984,37,NC,pre_bridge,1346481,824287,2170768,2175361,100
1984,38,ND,pre_bridge,200336,104429,304765,308971,53
1984,39,OH,pre_bridge,2678559,1825440,4503999,4547619,88
1984,40,OK,pre_bridge,861530,385080,1246610,1255676,77
1984,41,OR,pre_bridge,685700,536479,1222179,1226527,36
1984,42,PA,pre_bridge,2584323,2228131,4812454,4844903,67
1984,44,RI,pre_bridge,212080,197106,409186,410489,5
1984,45,SC,pre_bridge,615539,344470,960009,968540,46
1984,46,SD,pre_bridge,200267,116113,316380,317867,66
1984,47,TN,pre_bridge,990212,711714,1701926,1711994,95
1984,48,TX,pre_bridge,3433428,1949276,5382704,5397571,254
1984,49,UT,pre_bridge,469105,155369,624474,629656,29
1984,50,VT,pre_bridge,135865,95730,231595,234446,14
1984,51,VA,pre_bridge,1337078,796250,2133328,2146635,136
1984,53,WA,pre_bridge,1051670,807352,1859022,1883910,39
1984,54,WV,pre_bridge,405483,328125,733608,735742,55
1984,55,WI,pre_bridge,1199585,995843,2195428,2212091,72
1984,56,WY,pre_bridge,133241,53370,186611,188968,23
1988,01,AL,pre_bridge,815576,549506,1365082,1377970,67
1988,04,AZ,pre_bridge,702541,454029,1156570,1171873,15
1988,05,AR,pre_bridge,466578,349237,815815,827738,75
1988,06,CA,pre_bridge,5054917,4702233,9757150,9887064,58
1988,08,CO,pre_bridge,728177,621453,1349630,1372394,63
1988,09,CT,pre_bridge,750241,676584,1426825,1443387,8
